Company Name	Address Line 1	Address Line 2	City	Country	URL 1	URL 2	URL 3
Lewa Wildlife Conservancy	Lewa Wildlife Conservancy Office	Private Bag	Isiolo	Kenya			
Acme Containers Ltd	Dharamshi Raini Road	Off Limuru Road	Nairobi	Kenya			
Hilton Nairobi Limited	Hilton Hotel Building Plot No. 209/6527, Mama Ngina Street		Nairobi	Kenya			
Surgipharm Limited	Museum Hill Along Westlands Road	Oppsite Cfc Stanbic Bank	Nairobi	Kenya			
Grain Bulk Handlers Limited	Grain House, Beira Road, Shimanzi		Mombasa	Kenya			
Kaps Ltd	Kindaruma Road	Off Ngong Road	Nairobi	Kenya			
Essar Telecom Kenya Limited	Plot L/R No. 1870/111/551, Essar House Brookside Groove	Muguga Green Lane	Nairobi	Kenya			
Apex Shipping & Freight K Ltd	Lr 209/37,  Baricho Road	Industrial Area	Nairobi	Kenya			
De La Rue Currency & Security Print (K) Ltd	Noordin Road	Off Thika Road	Nairobi	Kenya			
Cmc Kenya	Lusaka Road		Nairobi	Kenya			
Green Park Golf & Country Complex Ltd Trading As The Great Rift Valley Lodge & Golf Resort	Moi North Lake Road		Naivasha	Kenya			
Equatoria Teak Company Ltd	Blixen Court Karen Road		Nairobi	Kenya			
Kenya Shell & Bp Malindi Ltd	Shell And Bp House	Harambee Avenue	Nairobi	Kenya			
Livingstone Registrars Ltd.	Deloitte Place Waiyaki Way	Muthangari	Nairobi	Kenya			
Big Life Foundation	Mbirikani		Nairobi	Kenya			
Twiga Stationers & Printers Ltd	29, Changamwe Road	Industrial Area	Nairobi	Kenya			
Eatec Limited	Eldoret/Nairobi Highway	P.O. Box 190	Eldoret	Kenya			
Craft Silicon Limited	Westlands Office Park	Waiyaki Way	Nairobi	Kenya			
Africa Online Holdings Ltd	15Th Floor,Rahimtulla Trust Towers	Upper Hill Road,209/11458	Nairobi	Kenya			
Insteel Ltd	Ol Kalou Road		Nairobi	Kenya			
Jacaranda Hotel Ltd	Woodvale Grove		Nairobi	Kenya			
Crown Classics Ltd	Ramco Group Industrial Park	Mombasa Road	Nairobi	Kenya			
Fones Direct Ltd	Godown Next To G4S Godown Securicor Round About North Airport Ro	Westlands	Nairobi	Kenya			
East African Seed Co. Ltd	Dakar Road, Industrial Area	Off Enterprise Road	Nairobi	Kenya			
Jaydees Knitting Factory Ltd	Off Sasio Road	Off Lunga Lunga	Nairobi	Kenya			
Hamilton Harrison And Mathews	14 I.C.E.A Building Kenyatta Avenue		Nairobi	Kenya			
Multimedia University College Of Kenya	Magadi Road		Nairobi	Kenya			
T M - A M Construction Group Africa Limited	Enterprise Road		Nairobi	Kenya			
Chemserve Cleaning Services Ltd	Gitanga Road		Nairobi	Kenya			
Aar Health Services Ltd	Williamson House 4Th Ngong Avenue		Nairobi	Kenya			
Ole Sereni Hotel	Mombasa Road		Nairobi	Kenya			
King Plastic Industries	Kings Plastic Building Enterprise House, Isiolo Road	Off Enterprise Road	Nairobi	Kenya			
Safari Park Hotel & Casino	Off Thika Road		Nairobi	Kenya			
Hoechst East Africa Ltd	Mogandishu Road	Industrial Area	Nairobi	Kenya			
International Centre For Research In Agroforestry - Icraf	United Nations Avenue	Gigiri	Nairobi	Kenya			
Countrywide Connection Limited	Kangaita Estate		Nanyuki	Kenya			
Dodhia Packaging Ltd	Kampala Road	Industrial Area	Nairobi	Kenya			
Niti Distributors Limited	Sky Center Tausi Lane	Off Muthithi Road	Nairobi	Kenya			
Dt Dobie & Co (Kenya) Ltd (Cfao)	Enterprise Road, Off Lusaka Road	Industrial Area	Nairobi 00200	Kenya			
Dac Aviation (Ea) Ltd	Wilson Airport	Langatta Road	Nairobi	Kenya			
East African Packaging Industries Limited	Plot No 209/8196 Kitui Road	Industrial Area	Nairobi	Kenya			
Nails And Steel Products Ltd	Kampala Road, Opposite Ryce Motors	Industrial Area	Nairobi	Kenya			
Directorate Of Civil Aviation	Airport Authority Building,  Airport North Road		Nairobi	Kenya			
Coptic Orthodox Church	P O Box 19697,  Ngong Road		Nairobi	Kenya			
Thika Power Limited	Exit 16 Along Nairobi Thika Super Highway 1St Left Turn Before M	Opposite Witeithie Village, Near Mangu Electrical Substation	Nairobi	Kenya			
Pandya Memorial Hospital	Dedan Kimathi Avenue		Mombasa	Kenya			
Sumaria Industries Ltd	Migwani Road	Off Enterprise Road	Nairobi	Kenya			
Comtech Networks Limited	Village Market		Nairobi	Kenya			
Vaja's Investments Ltd	Road A Ectoville Industrial Estate	Off Enterprise Road Industrial Area	Nairobi	Kenya			
Sankara Nairobi Ltd	05 Woodvale Grove	Westlands	Nairobi	Kenya			
Ramco Printing Works Limited	Plot L R No 209/ 8303 Dunga Close	Industrial Area	Nairobi	Kenya			
Kenfreight Ea Limited	Msc Plaza Moi Avenue	Port Reitz Road	Mombasa	Kenya			
Nesfood Industies Ltd	Archbishop Mackarios Road		Mombasa	Kenya			
Insurance Company Of East Africa Limited	17Th Floor  I C E A Kenyatta Avenue		Nairobi	Kenya			
Across	Ndege Road		Nairobi	Kenya			
Crown Rockshield Kenya Ltd	Unit 22 & 24 Alpha Centre Mombasa Road		Nairobi	Kenya			
Pwani University	P.O Box 195-80108	Mombasa-Malindi Road	Kilifi	Kenya			
Alba Petroleum Limited	Plot No. 192 / 193 Alba House	Miji Kenda Road	Mombasa	Kenya			
Kabarak University	Nakuru-Eldama Ravine	Kabarak	Nakuru	Kenya			
Van Leer East Africa Ltd	17-45,  Unga Street		Mombasa	Kenya			
Kenpoly Manufacturers Limited	Plot No.30 Lunga Lunga Road	Industrial Area	Nairobi	Kenya			
Arvind Engineering Ltd	Mombasa Road Next To Kenchich Area	Industrial Area	Nairobi	Kenya			
Adamji Multi Suppliers Limited	Apex Business Park No.10	Mombasa Road	Nairobi	Kenya			
Ngm Company Limited	Mombasa Road		Machakos	Kenya			
Carnaud Metalbox K Ltd	Thika		Nairobi	Kenya			
United Nation High Commissioner For Refugees	Rhapat Road Westlands		Nairobi	Kenya			
Polythene Industries Ltd	Mombasa Road	Next To General Motors	Nairobi	Kenya			
Guaranty Trust Bank (Kenya) Limited	Woodvale Close	Westlands	Nairobi	Kenya			
Ponderosa Logistics Limited	Nyali Kenyatta Road		Mombasa	Kenya			
Kenya National Shipping Line Ltd	Canon Towers Moi Avenue		Mombasa	Kenya			
Hi-Plast Ltd	Falcon Road	Off Enterprise Road, Industrial Area	Nairobi	Kenya			
Dune Packaging Limited	Station Road		Nairobi	Kenya			
Aquamist Ltd	Westlands Off Rhaphta Road	East Of Church Road	Nairobi	Kenya			
Lupat Cleaning Services Ltd	University Way		Nairobi	Kenya			
Nairobi Womens Hospital	Argwings Kodhek Road	Hurlingham	Nairobi	Kenya			
Wells Fargo Ltd	South C, Red Cross Road	Off Popo Road, Off Mombasa Road	Nairobi	Kenya			
Lynntech Chemicals & Equipment Ltd	G K & Brothers Building Lunga Lunga Road		Nairobi	Kenya			
Jambo Biscuits (K) Ltd	Jambo Biscuits Building Kampala Road, Industrial Area	Off Enterprise Road	Nairobi	Kenya			
Dunlop Industries Ltd	Dunlop Centre Nanyuki Road, Offlunga Lunga Road	Industrial Area	Nairobi	Kenya			
Mount Kenya Bottlers Ltd	Wang'ombe Waihura Road		Nyeri	Kenya			
Simbarite Ltd	Plot No 2293,  Mombasa Malindi Road		Mombasa	Kenya			
Galsheet Kenya Limited	Nirobi-Mombasa Road		Nairobi	Kenya			
Design Hotel-Tribe	Limuru Road		Nairobi	Kenya			
Notco Kenya Ltd	Mombasa Road	Lusaka Road	Nairobi	Kenya			
Maasai Wilderness Conservation Trust	Amboseli - Tsavo West Road		Nairobi	Kenya			
Nirav Agencies Limited	Jumbo Complex Building Mogadishu Road	Industrial Area	Nairobi	Kenya			
Sara Lee Household And Body Care Kenya Ltd	Outer Ring / Thika Road	Ruaraka	Nairobi	Kenya			
Islamic Relief Worldwide-Kenya	Kiricha Road		Nairobi	Kenya			
Brookside Dairy Ltd	Near Kenyatta University,  Off Thika Super Highway	Next To Peponi School	Ruiru	Kenya			
Pz Cussons East Africa Ltd.	Baba Dogo Road Ruaraka		Nairobi	Kenya			
Capital Fish (Kenya) Ltd	James Gichuru Road	Althaus House	Nairobi	Kenya			
Kenya Institute Of Management	Nyerere Road		Nairobi	Kenya			
Icea Lion General Insurance Co. Ltd	Icea Building Kenyatta Avenue		Nairobi	Kenya			
Children Of God Relief Institute Ltd	3Rd 141, Karen-Dagoretti Rd	. P. O. Box 24970	Nairobi	Kenya			
Population Services Kenya	Lenana Road	Jumuia Place	Nairobi	Kenya			
Population Services Kenya	Jumuia Place, Lenana Road		Nairobi	Kenya			
Akorn Destination Management	Mombasa Road		Nairobi	Kenya			
Catholic Diocese Of Nakuru	Moi Road, Opp Christ The King Cathedral		Nakuru	Kenya			
Associated Vehicle Manufacturers Ltd	Miritini Road		Mombasa	Kenya			
Rubber Products Limited	Dakar Road	Off Enterprise Road	Nairobi	Kenya			
Eveready East Africa Limited	Standard Building Wabera Street		Nairobi	Kenya			
Signature Tours And Travel Limited	Mombasa Road		Nairobi	Kenya			
Lg Harris & Co. (E.A) Ltd	Baba Dogo Road	Ruaraka	Nairobi	Kenya			
Decase Chemicals Ltd	Industrial Area,  Kampala Road	Off Enterprise Road	Nairobi	Kenya			
Melvin Marsh International Limited	Funzi Road	Off Enterprise Road	Nairobi	Kenya			
Powerplast Industries Ltd	North Airport Road		Nairobi	Kenya			
Orkila East Africa Ltd	Next To Syokimau Railway Station		Nairobi	Kenya			
Family Health Options Kenya	Mai Mahiu Road	Off Langata Road	Nairobi	Kenya			
Highlands Canners Limited	Baba Dogo Road	Ruaraka	Nairobi	Kenya			
Infusion Medicare Kenya Limited	10 Mogadishu Road	Off Lunga Lunga Road	Nairobi	Kenya			
The Jomo Kenyatta Foundation	Enterprise Road		Nairobi	Kenya			
Vitafoam Products Limited	Vitafoam Complex Plot 209/9718	Mombasa Road	Nairobi	Kenya			
Bryson Express Ltd	Unga Street	Shimanzi	Mombasa	Kenya			
Jaydees Knitting Factory Limited	Industrial Area,  Sasio Road Off Lunga Lunga Road		Nairobi	Kenya			
Uni-Plastics Ltd	Plot No. 336/204	Off Baba Dogo Road	Nairobi	Kenya			
Bliss Gvs Healthcare Ltd	Opposite Petrol Station,  Lenana Road	Jumuia Place	Nairobi	Kenya			
Naivas Supermarkets Ltd	Homabay Road	Off Enterprise Road	Nairobi	Kenya			
Sameer Africa Limited	L.R.No 12081/9 Enterprise / Mombasa Road Junction	Mombasa Road	Nairobi	Kenya			
General Industries Ltd	Plot 209/617 Pembe Street, Off Lusaka Road	Industrial Area	Nairobi	Kenya			
Serena Lodges And Hotels	Williamson House Ngong Road	4Th Avenue	Nairobi	Kenya			
Saichem Limited	1St Avenue Parklands	Lr 209/2082	Nairobi	Kenya			
The Panari Hotel Ltd	Panari Sky Centre Mombasa Road		Nairobi	Kenya			
Abercrombie & Kent Kenya Limited	A & K House Next To Bobmil & Plaza 2000	Mombasa Road	Nairobi	Kenya			
Edible Oil Products Ltd	Mombasa Road	Near Nakumatt Headquaters	Nairobi	Kenya			
Reltex Africa Limited	Capital Industrial Park		Athi River	Kenya			
Kenya Litho Limited	Mlolongo Area, Mombasa Road	Opposite Orbit Chemicals	Nairobi	Kenya			
Consolbase Limited	Changamwe		Mombasa	Kenya			
Jackpot Enterprises Ltd	Mayfair Casino Club,  Parklands Road		Nairobi	Kenya			
Crater Automobiles Limited	Plot No 454, Block 7,  George Morara Avenue		Nakuru	Kenya			
Reckitt Benckiser East Africa Ltd	Likoni Road, Off Jogoo Road	Industrial Area	Nairobi	Kenya			
General Plastics Limited	Plot No.96 Enterprise Road	Industrial Area	Nairobi	Kenya			
Monaco Engineering Ltd	Nanyuki Road		Nairobi	Kenya			
Higher Education Loans Board (Helb)	Anniversary Tower University Way		Nairobi	Kenya			
Ipsos Limited	James Gichuru		Nairobi	Kenya			
Spicers Eastern Africa Limited	Uhuru Highway Plessey House Next To Nakumat Mega	Opposite Nyayo Stadium	Nairobi	Kenya			
Malindi Vanilla Growers And Curers Kenya Ltd	Yaya Centre City	Malindi Province	Mombasa	Kenya			
The Wrigley Co (E A) Ltd	Plot Lr No. 209/6922 Bamburi Road	Enterprise Road	Nairobi	Kenya			
Aerosea Freight Logistics Ltd	North Airport Road	Oppossite Sdv Transami Embakasi	Nairobi	Kenya			
Highchem Industrials Africa Ltd	Mogadishu Road	Industrial Area	Nairobi	Kenya			
Allfruit Epz Ltd	Changamwe, Kingorani		Mombasa	Kenya			
Associated Vehicle Assemblers Ltd	Miritini Road		Mombasa	Kenya			
East Africa Building Society	Muindi Mbingu Street		Nairobi	Kenya			
East African Building Society	Fedha Towers, 15Fl,  Muindi Mbinga St	Off Kenyatta Avenue	Nairobi	Kenya			
Interbeauty Products Limited	Nice & Lovely House Opposite The Jkia Flyover	Mombasa Road	Nairobi	Kenya			
Africa Nazarene University	Masaai Lodge Road		Nairobi	Kenya			
Willis Foundation International	Moi Avenue		Nairobi	Kenya			
East African Cables Limited	Addis Ababa Road	Industrial Area	Nairobi	Kenya			
Gordhandas Dharamshi & Brothers Ltd	Off Mombasa Road	North East Gate Road	Nairobi	Kenya			
Lolldaiga Hills Ltd	Daiga Location,  Nanyuki		Nanyuki	Kenya			
Kenya Grange Vehicles Industries Limited	17 Kitui Road	Off Kampala Road, Kitui Road Industries Area	Nairobi	Kenya			
Siginon Freight Limited	Sea View Plaza, Siginon Complex Opposite Mbariki Sports Club	Off Mbariki Road	Mombasa	Kenya			
Vert Limited	Wall Street Business Park, Godown No 9	Behind Kenya Ports Authority Inland Depot	Nairobi	Kenya			
Kiwi Brands Ltd	Plot No 7200/8 Ruaraka,  Outering/Thika Road	Upper Hill	Nairobi	Kenya			
The Real Ipm Co.(Kenya) Ltd	Kichozi Farm	Near Giogio Estate	Thika	Kenya			
Twiga Chemical Industries Limited	Twiga Chemical Building,  Nanyuki Road		Nairobi	Kenya			
Summit Fibres Limited	Shimanzi Road		Mombasa	Kenya			
Great Lakes University Of Kisumu	Kibos		Kisumu	Kenya			
Swift Freight International K Ltd	Fedha Towers,  Muindi Mbingu Street		Nairobi	Kenya			
The Really Useful Landscape Company Ltd	L.R No. 21/1/19,  Limuru Road		Nairobi	Kenya			
Jimcab Services Limited	Un Avenue		Nairobi	Kenya			
Hasbah Kenya Limited	Off Old Embakasi Road	Mombasa Road	Nairobi	Kenya			
Air Kenya Aviation Limited	Langata Road Wilson Airport		Nairobi	Kenya			
Greenland Agroproducts Ltd	Siginon Complex 209/9511,  Mbagathi Road	Airport Road	Nairobi	Kenya			
Buhler East Africa Ltd	Prosperity House Westlands Road		Nairobi	Kenya			
Glaxosmithkline Limited	Likoni Road	Industrial Area	Nairobi	Kenya			
Com Twenty One Limited	Umeme Plaza Naivasha Road	Off Ngong Road	Nairobi	Kenya			
Cellnet Ltd	Doshi Complex Mombasa Road	Next To City Cabanas	Nairobi	Kenya			
Smithkline Beecham Consumer Health Care Limited	Likoni Road		Nairobi	Kenya			
Agriquip Agencies Ea Ltd	Agriquip Building Lusaka Road	Landimawe, Industrial Area	Nairobi	Kenya			
Aig Kenya Insurance Company Limited	Mamlaka Road		Nairobi	Kenya			
Industrial Plant ( East Africa ) Ltd	Industrial Area		Nairobi	Kenya			
Turbo Highway Eldoret Ltd	Kenyatta Street		Eldoret	Kenya			
Rabai Power Limited	Kenya Re Towers, Ground Floor Upperhill, Off Ragati Road		Nairobi	Kenya			
Kamili Packers Ltd	Block 12 Kampala Road	Off Enterprise Road	Nairobi	Kenya			
Cipk ,Kakamega	Mumias		Mumias	Kenya			
Economic Industries Ltd	Shangani Building National Part East Gate Road	Next To Mombasa Road Police Post	Nairobi	Kenya			
International Peace Support Training Cetre	Westwood Park Karen		Nairobi	Kenya			
Booth Extrusions Limited	Kenyatta Avenue		Thika	Kenya			
Small Luxury Hotel Safaris Limited	Watamu Beach	Close To Malindi, Mid Acric	Watamu	Kenya			
East Africa Seed Co Ltd	Dakar Road	Off Enterprise Road	Nairobi	Kenya			
Kenya Duty Free Complex Limited	Jomo Kenyatta International Airport		Nairobi	Kenya			
Kenya Bixa Limited	Transnational Plaza Mama Ngina Street		Nairobi	Kenya			
National Oil Corporation Of Kenya	Aon Minet House Mamlaka Road	Off Nyerere Road	Nairobi	Kenya			
Multichoice Kenya Limited	Multichoice House Karuna Road	Opposite Sarit Centre	Nairobi	Kenya			
Ministry Of Tourism And Wildlife	Utalii House Off Uhuru Highway		Nairobi	Kenya			
Roots Africa Development Organization	Bondo Usenge Road		Nairobi	Kenya			
Acacia Medical Centre Ltd	General Accident House 1St Floor	Ralph Bunche Road	Nairobi	Kenya			
T.S.S. Grain Millers Ltd	Dar-Es-Salaam Road	Next To Freight Forwarders	Mombasa	Kenya			
Mediheal Hospital And Fertility Centre - Eldoret	Nandi Road, Behind De Restaurant	Uasin Gishu County	Eldoret	Kenya			
Wananchi Telecom Ltd	Block A Gateway Business Park	Mombasa Road	Nairobi	Kenya			
Eslon Plastics Of Kenya Ltd	Elson Building Jirore Road	Off Enterprise Road, Industrial Area	Nairobi	Kenya			
Pisu And Company Ltd	Jumbo Complex Along Mogadishu Road	Next To Morris & Co Ltd	Nairobi	Kenya			
Eka Hotel	Mombasa Road		Nairobi	Kenya			
Mombasa Salt Works Limited	Off Refinary Road		Mombasa	Kenya			
Laborex Kenya Limited	Next To Plaza 2000, Msa Road,  Ground Floor A & K Building, City	Farm Auto Spares Complex	Nairobi	Kenya			
African Safari Club Ltd	Mombasa-Malindi Road		Mombasa	Kenya			
Kenya Tanning Extract Co Ltd	Thika		Thika	Kenya			
Intra Africa Assurance Company Ltd	Williamson House 4Th Ngong Avenue		Nairobi	Kenya			
Kenya Association Of Manufacturers	86 Riverside Lane, Riverside Off Riverside Drive	Next To Netherland Embassy, Riverside	Nairobi	Kenya			
Sameer Investments Ltd	49 Riverside Drive		Nairobi	Kenya			
Royal Garment Industries Epz Limited	Plot 11 Athi River Epz		Nairobi	Kenya			
Alliance Ginneries Ltd	Mombasa Road		Nairobi	Kenya			
The Nairobi Hospital	Argwings Kodhek Road	Ralph Bunches	Nairobi	Kenya			
Communication Solutions Ltd	4Th Floor Museum Hill Center	Museum Hill Road	Nairobi	Kenya			
Narcol Aluminium Rolling Mills Ltd	Kwa Jomvu Road	Industrial Area	Mombasa	Kenya			
Nippon Koei Co Ltd	Utumishi Coperative House	Manlaka Road	Nairobi	Kenya			
Plastico Industries Limited	Kitui Road	Off Kampala Road	Nairobi	Kenya			
Italbuild Imports Limited	Gate No. 3 Next To Npc Karen, Nyumba Moja Road	Off Langata Road	Nairobi	Kenya			
Lapsset Corridor Development Authority	Chester House Building Koinange Street		Nairobi	Kenya			
Gibb Africa Ltd	1St Floor, Kaka House, Maua Close  Off Parklands Roa		Nairobi	Kenya			
Schneider Electrics	Power Technics Complex Mombasa Road		Nairobi	Kenya			
Thika Coffee Mills Ltd	House Of Volvo Market Street		Nairobi	Kenya			
Koinonia Community	St Daniel Comboni Road		Nairobi	Kenya			
Charansons Ltd	Nanyuki Road	Sekondi Road	Nairobi	Kenya			
Leena Apparels Epz Ltd	Off Mikindani Road	Bond 36	Mombasa	Kenya			
Gateway Insurance Co Ltd	Gateway Place	Milimani Road	Nairobi	Kenya			
General Motors East Africa Ltd	Gm Complex Junction Of Mombasa Road	Enterprise Road	Nairobi	Kenya			
Great Lakes University Of Kisumu	Off Tom Mboya Drive Milimani		Nairobi	Kenya			
Kenya Tourism Development Corporation	Utalii House Utalii Street	Uhuru Highway	Nairobi	Kenya			
Africa Neurotech Systems Limited	Top Plaza Kindaruma Road, Off Ngong Road	Kilimani, Hurlingham	Nairobi	Kenya			
The Flip Flop Recycling Company	Marula Studios	40 Marula Lane, (Off Karen Road)	Nairobi	Kenya			
Pastec Limited	Ngong Road		Nairobi	Kenya			
Consolidated Marine Construction Ltd	Cormaco Base,  Limatoni Bay		Mombasa	Kenya			
Salama Fikira Limited	L.R No. 24861 Ngong Business Park	Ngong Road	Nairobi	Kenya			
Igad Climate Prediction And Applications Centre	Ngong Road	Dagoretti Corner	Nairobi	Kenya			
Swan Millers Ltd	Block 124 Kisumu,  Sabuni Road		Kisumu	Kenya			
Tooltek International Limited	Rci Godown No. 4	North Airport Road, Emvbakasi	Nairobi	Kenya			
Coast Clay Works Limited	Port Reitz	Off Airport Road	Mombasa	Kenya			
Cateress Milling Co. Ltd	Lr 209/10363/3, Off Mombasa Road	Industrial Area	Nairobi	Kenya			
Power Technics Limited	Power Technics Complex Mombasa Road		Nairobi	Kenya			
Polyflex Industries Limited	32, Lunga Lunga Road	Industrial Area	Nairobi	Kenya			
Umma University	Kajiado Center		Kajiado	Kenya			
