Company Name	Address Line 1	Address Line 2	City	Country	URL 1	URL 2	URL 3
Kenya National Commission On Human Rights	Cvs Plaza Kasuku Road	Off Lenana Road	Nairobi	Kenya			
Mitsumi Computer Garage Limited	Plot Lr No, 209/2132 Muthithi Place (Building 67), Muthithi Road		Nairobi	Kenya			
Nila Pharmaceuticals Ltd	Mepalux Plaza Latema/River Road		Nairobi	Kenya			
Excel Chemicals Ltd	Excel Chemicals Building Old Mombasa Road	Embakasi	Nairobi	Kenya			
C Metha & Company Ltd	Unit 4, Panesar Centre	Mombasa Road	Nairobi	Kenya			
African Children Education Fund	Behind Cereals Board		Embu	Kenya			
Mitsumi Computer Garage Limited	Muthithi Road	Westlands	Nairobi	Kenya			
Woodtex Kenya Limited	Rex Godown, Kabansora Road	Off North Airport Road, Embakasi	Nairobi	Kenya			
Dhl Worldwide Express Kenya Ltd	Witu Road, Industrial Area	Off Lusaka Rd	Nairobi	Kenya			
Coca-Cola East And Central Africa Ltd	The Coca-Cola Plaza Junction Of Mara & Kilimanjaro Mara Road	Hostital Road	Nairobi	Kenya			
Africa Online Kenya Limited	15Th Floor, The Rahimtulla Tower Upper Hill Road	Upper Hill	Nairobi	Kenya			
Tradecon (Msa) Limited	V1 194/195 Miji Kenda Street	Opposite Railway Station Roundabout, Near Sapphire Hotel	Mombasa	Kenya			
National Campaign Against Drug Abuse Authority	Bishops Road, Nssf Building		Nairobi	Kenya			
Modern Fishing Industries Ltd	Sabuni Road		Kisumu	Kenya			
Polypipes Limited	Next To Bata Company	Opposite Railway Station	Limuru Town	Kenya			
Kenya Wine Agencies Limited	Enteprise Road, Opposite Standard Bank	Total Petrol Station, Industrial Area	Nairobi	Kenya			
Lamu Youth Alliance	Harambee Road		Lamu	Kenya			
Goldrock International Enterprices K Ltd	Goldrock Complex	Baba Dogo Road, Next To Tilly	Ruaraka	Kenya			
Aua Industria Ltd	Almont Park, Church Road	Westlands	Nairobi	Kenya			
Kenya General Industries Limited	Miritini Road	Next To Brollo (K) Ltd	Mombasa	Kenya			
Educational Scientific & Technical Equipment Co L Ltd	Along Mombasa Road		Nairobi	Kenya			
Creative Innovations Ltd	Road A, Off Enterprise Road		Nairobi	Kenya			
Spa Millers Ltd	Corner Plaza Westlands		Nairobi	Kenya			
Universal Pharmacy Kenya Limited	Plot 209/1913/3,  Lunga Lunga Road	Clesoi Road	Nairobi	Kenya			
Gamma Delta Eastern Africa	Studio House Westlands	Off Museum Hill	Nairobi	Kenya			
Plantation Plants Kenya Ltd	Moi South Lake Road		Naivasha	Kenya			
Kenya Institute Of Supplies Management	Cambrian Building Moi Avenue		Nairobi	Kenya			
Kiboko Leisure Wear Ltd	Mombasa Road		Nairobi	Kenya			
Comcraft Kenya Ltd	Comcraft House Haile Selassie Avenue		Nairobi	Kenya			
Spice World Ltd	38 Nanyuki Road	Industrial Area	Nairobi	Kenya			
Tripple Twin Logistics Ltd	Mirage Plaza	Along Mombasa Road	Nairobi	Kenya			
Jubba Drug Mart Limited	Alpha Center 28, Mombasa Road		Nairobi	Kenya			
U.S. Agency For International Development (Usaid)	Village Market		Nairobi	Kenya			
Consolidated Mombasa Ltd	Mitchell Cotts House,  Mashundu		Mombasa	Kenya			
Nova Chemicals Ltd	Nova House,  Lunga Lunga Road		Nairobi	Kenya			
Everett Aviation	Bamburi Airport, Malindi Road	Bamburi,	Mombasa	Kenya			
Kagongo Aids Affected & Afflicted Self Help Groupkash	81-10100 Nyeri		Nyeri	Kenya			
Marshalls East Africa Ltd	Marshall House Koinange Street		Nairobi	Kenya			
Bss Africa Ltd	Prosperity House Westlands Road		Nairobi	Kenya			
Nyanza Petroleum Dealers Ltd	Mombasa Road		Nairobi	Kenya			
Evangel Publishing House	Lumumba Drive Off Kamiti Road	Roysambu, Thika Road	Nairobi	Kenya			
Modern Soap Factory	Lumumba Road		Mombasa	Kenya			
Kenknit Kenya Limited	Oloo Street	Along Uganda Road	Eldoret	Kenya			
Athi River Marble & Granite Ltd	Chiromo Court,  Chiromo Road		Nairobi	Kenya			
Aitec Conferences Kenya Ltd	Muthaiga Mini Market	Limuru Road	Nairobi	Kenya			
Hyundai Motors Kenya Limited (Hmk)	Allbid House Mombasa Road		Nairobi	Kenya			
Tin Can Manufacturers Ltd	Nanyuki Road, Opposite Co-Operative Bank	Industrial Area	Nairobi	Kenya			
Rhino Hill Ventures Limited	Barclay House	Kenya Society For The Blind Complex	Nairobi	Kenya			
Kennat Inks & Chemicals Ltd	Road A, Off Enterprise Road	Industrial Area	Nairobi	Kenya			
Biblica Kenya	Denis Pritt Road		Nairobi	Kenya			
Tradewinds Kenya Limited	North Aiprot Road		Nairobi	Kenya			
Kundan Singh Construction Limited	Baba Dogo Road		Nairobi	Kenya			
The Final Test Company	0838 John F Kennedy Drive		Nairobi	Kenya			
K.B.Sanghani And Sons	Mchumbi Road	South B City	Nairobi	Kenya			
Alliance Media Kenya Limited	Prosperity House Westlands Road	Opp. Cfc Chiromo Centre	Nairobi	Kenya			
Office Mart Limited	Homa Bay Road Off Ent Rd Ind Area Nairobi		Nairobi	Kenya			
Kenya Farmnut Mcs Society	Plot No Lr/335/11,  Grogan Road		Muranga	Kenya			
Netsol Kenya Limited	Brookside Drive Nairobi	Sarit Center	Nairobi	Kenya			
Wananchi Nominee Limited	Gateway Office Business Park	Mombasa Road, Block E	Nairobi	Kenya			
Burly Trading Kenya Ltd	Treasury Square		Mombasa	Kenya			
Nuba Relief Rehabilitation And Development Organization	Westlands		Nairobi	Kenya			
Universal Corporation Ltd	Plot Lr No: 13777	Club Road, Near Kikuyu Township Primary School	Kikuyu Township	Kenya			
Madhupaper Kenya Ltd	Industrial Area,  Serem Road	Off Lunga Lunga Road	Nairobi	Kenya			
Blue Sky Industries Ltd	Opposite British American Tobacoo		Thika	Kenya			
Red Plum Enterprises Ltd	Lunga Road		Nairobi	Kenya			
Chemraw East Africa Limited	Former Johnson Wax Godown 7, Nyahera Road	Off Lunga Lunga Road	Nairobi	Kenya			
Elite Earthmovers Ltd	Kangundo Road		Nairobi	Kenya			
Styroplast Ltd	Syroplast Building, Plot 20 Migwani Road	Off Enterprise Road, Industrial Area	Nairobi	Kenya			
Japan International Co-Operation Agency	Rahimtulla Tower, 10Th Floor,  Upper Hill Road		Nairobi	Kenya			
Gulf African Bank Limited	Geminia Insurance Plaza Kilimanjaro Avenue	Upper Hill	Nairobi	Kenya			
The Standard Group Limited	Standard Group Centre	Mombasa Road	Nairobi	Kenya			
Research International East Africa Ltd.	Ngano House,  Research International Center	Mtaka Road, West Lads	Nairobi	Kenya			
Silpack Industries Limited	Plot No 209/4270 Likoni Road		Nairobi	Kenya			
Cooper K-Brand Ltd	Cooper Centre	Kaptagat Road, Off Waiyaki Way	Nairobi	Kenya			
Pelican Signs Limited	Pelican Signs Building Uhuru Highway	Opposite Nyayo Stadium	Nairobi	Kenya			
Maua Agrotech Limited	Blue Bird Building,  First Parklands Avenue		Nairobi	Kenya			
Bahari Beach Hotel	Mount Kenya Road	Makupa, North Coast	Mombasa	Kenya			
Pan Africa Express Transport Limited	Mombasa Road		Nairobi	Kenya			
Hrg Kenya - Elite Travel Services Ltd	Hrg Kenya Jasmine Centre Off Waiyaki Way	Westlands	Nairobi	Kenya			
Threeways Shipping Services Ltd.	Jinja Road		Kampala	Kenya			
Daraja United Women And Youth Empowerement	Kisii - Ogembo		Kisii	Kenya			
Afro Plastics (Kenya) Ltd	Afroplastics Complex Off Baba Dogo Road	Ruaraka Industrial Area	Nairobi	Kenya			
Gotvkenya Limited	Westlands Off Karuna Road		Nairobi	Kenya			
More Than Conquerors Co Ltd	Professional Centre Parliament Road		Nairobi	Kenya			
Elite Offset Ltd	Factory Street	Industrial Area	Nairobi	Kenya			
Meru County	Meru Town		Meru	Kenya			
L.A.B. International Kenya Limited	Chai Street	Off Shimanzi Road	Mombasa	Kenya			
Synovate Kenya Limited	Riverside Drive, Westlands		Nairobi	Kenya			
Cadbury Kenya Ltd	Ol Kalou Road	Off Nanyuki Road	Nairobi	Kenya			
Africa Apparels Epz Ltd	L R 209/7698, Runyenjes Road	Off Nanyuki Road, Industrial Area	Nairobi	Kenya			
Law Society Of Kenya	Crawford Business Park		Nairobi	Kenya			
Smart Brands Limited	Smart Brands Building Maasai Road	Off Mombasa Road	Nairobi	Kenya			
Capwell Industries Limited	Off Garissa Road		Thika	Kenya			
Lanor International Limited	Delta Cormer Chiromo Road		Nairobi	Kenya			
Tropical Farm Management (Kenya) Limited	Maboromoko Road		Thika	Kenya			
Wanjohi Consulting Engineers Ltd	Ndemi Road	Ngong Road	Nairobi	Kenya			
Fine Spinners Ltd	Migwani Road, Off Lunga Lunga Road	Industrial Area	Nairobi	Kenya			
Highridge Pharmaceuticals Ltd	Amani Plaza 3Rd Parklands Avenue		Nairobi	Kenya			
Emco Billets Limited	13Th Floor, International Hse,  Mama Ngina Street		Nairobi	Kenya			
The Print Store Limited	Ramco Group Industrial Park	Mombasa Road	Nairobi	Kenya			
International Paper And Board Supplies Ltd	North Airport Road	Off Mombasa Road	Nairobi	Kenya			
G.A Consultants Ltd	Standard Building, Room No .9 Standard Street		Nairobi	Kenya			
Servtel Communications Ltd	City House Moi Avenue		Mombasa	Kenya			
Eastleigh North Chief's Office	Eastleigh North		Nairobi	Kenya			
Marryat & Scott Ltd	Wilson Airport		Nairobi	Kenya			
Tysons Limited	Jubilee Insurance House Wabera Street		Nairobi	Kenya			
Innsscor (K) Ltd	Masaai Road	Off Mombasa Road	Nairobi	Kenya			
Bhimji Ramji & Sons K Ltd	Off North Airport Road		Nairobi	Kenya			
Lino Stationers (Africa) Limited	23 Enterprise Road, Cnr Homabay Road	Opposite To Kenya Wine Agency	Nairobi	Kenya			
Usaid Suwasa	Kiganjo House Rose Avenue	Kilimani	Nairobi	Kenya			
Partnership For African Social And Governance Research (Pasgr)	Kma Center Mara Road	Upper Hill	Nairobi	Kenya			
Old Mutual Kenya Limited	Mutual Building Corner Of Mara Road And Hospital Road	Upper Hill	Nairobi	Kenya			
Farmgate East Africa (Epz) Ltd	Kingorani Export Processing Zone (Epz) Along Mombasa-Nairobi Roa	Changamwe	Mombasa	Kenya			
Kevroe Plastics Epz Limited	Museum Hill Centre	Off Ndege Road	Nairobi	Kenya			
Mara Beef	Mara Beef Farm		Enonkishu Conservancy	Kenya			
Water Africa International Ltd	Enterprise Road	Next To G.M & Softa	Nairobi	Kenya			
Metro Cash & Carry Kenya Ltd	Airport North Road Corner,  Mombasa Road/Airport North Road		Nairobi	Kenya			
Verve K O Ltd	Geminia Insurance Plaza Mara Road		Nairobi	Kenya			
Giro Bank Limited	Giro House,  Kimathi Street		Nairobi	Kenya			
Universal Cabs Ltd	Munae Road		Nairobi	Kenya			
Association Of Kenya Medical Laboratory Scientific Officers	Mbagathi		Nairobi	Kenya			
Nyamusi Umoja Support Group	Nyamusi		Nyamira	Kenya			
Boc Kenya Limited	Kitui Road Industrial Area	Off Kampala Road	Nairobi	Kenya			
Cemastea	Karen Bogani Road		Nairobi	Kenya			
Busia Sugar Company Ltd	Busia-Mumias Road		Busia	Kenya			
Dominion Engineering Works Ltd	Busia Road	Industrial Area	Nairobi	Kenya			
Brackenhurst Kenya Limited	Tigoni		Limuru	Kenya			
Atlas Plumbers & Builders K Ltd	Atlas Buiding,  Lower Kirinyaga Road		Nairobi	Kenya			
Squad Digital Limited	Grevillea Grove -Brookside	The Chancery Vall	Nairobi	Kenya			
Somali Community	Airport Road		Mogadishu	Kenya			
Karuri High School	Karuri Ndenderu Road		Karuri	Kenya			
Da Gama Rose Group Of Companies Ltd	Sarit Centre,  Parklands Road, Westlands	Waiyaki Road	Nairobi	Kenya			
Kenya Paper Mills Ltd	Factory Street		Thika	Kenya			
Taws Ltd	Addis Ababa Road	Off Enterprise Road	Nairobi	Kenya			
Fina Bank Limited	Fina House,  Kimathi Street		Nairobi	Kenya			
Raffia Bags East Africa Limited	Miritini Area	Mombasa / Nairobi Highway	Mombasa	Kenya			
Top Tank Limited	Parkside Towers Mombasa Road		Nairobi	Kenya			
Gestetner Kenya Ltd	P O Box 2629		Nairobi	Kenya			
Phoenix Of East Africa Assurance Company Ltd	Ambank House,  University Way		Nairobi	Kenya			
Flagship Carries Ltd	Parklands Road	Mpaka Road	Nairobi	Kenya			
Express Travel Group Limited	Hemingways House, Karen Office Park	Langata Road	Nairobi	Kenya			
Mango Limited	Factory Street Industrial Area		Nairobi	Kenya			
Ken-Tech It Limited	Mombasa Road		Nairobi	Kenya			
Newline Limited	Loita Street		Nairobi	Kenya			
Norken International Limited	Norfolk Towers, Block G Kijabe Street, Phase Iii		Nairobi	Kenya			
Impala Auto Spares Ltd	Impala House,  Tom Mboya Street	Industrial Area, Dunga Road	Nairobi	Kenya			
Cartrack Kenya Ltd	Kenya Road	Off Hospital Road	Nairobi	Kenya			
East African Storage Company Ltd	Shimanzi		Mombasa	Kenya			
Adexterous Guild	Oginga Street		Kisumu	Kenya			
Old Mutual Investment Services (Kenya)Ltd	Mutual Building Mara Road		Nairobi	Kenya			
Geothermal Development Company	South C Bellevue Kawi House, Off Mombasa Road	Red Cross Road	Nairobi	Kenya			
Unicorn Pharma (K) Ltd	Factory Road	Industrial Area	Thika	Kenya			
Land Trees And Sustainability Lts Africa Limited	Off Muthangari Road	Braeside Gardens	Nairobi	Kenya			
Comet Plastics Limited	Homabay Road	Off Enterprise Road	Nairobi	Kenya			
Tinga Tinga Clothing Limited	Funzi Road	Industrial Area	Nairobi	Kenya			
Health Ngos Network	Langata Road		Nairobi	Kenya			
Raicha's Electro Service Ltd	Gor Mahia Road		Kisumu	Kenya			
Biopharma Limited	Serengeti House Factory Street	Industrial Area	Nairobi	Kenya			
Kenya Tourisim Board	Kenya-Re Towers Ragati Road	P.O. Box 30630	Nairobi	Kenya			
Act Change Transform	Kilimani Road Off Elygeyo Marakwet Road	Nairobi City County	Nairobi	Kenya			
Strategis Health Ltd	Aga Khan Hospital,  3Rd Parklands Avenue	Off Limuru Road	Nairobi	Kenya			
Aic Cure International Children's Hospital	Hospital Road		Kijabe	Kenya			
Opera Ea Ltd	Mombasa Nairobi Road		Mombasa	Kenya			
Utalii Transport Company Limited.	South B,  Melili Road		Nairobi	Kenya			
Gohil Soap Factory Ltd	Harry Thuku Road		Nakuru	Kenya			
Queens Cleaners & Dyers Ltd	National House,  Market Street		Nairobi	Kenya			
Centum Investment Company Limited	International House Mama Ngina Street		Nairobi	Kenya			
Nasib Industrial Products Limited	Land Mark Equity Bank,  44 Enterprise Road	Next To Equity Bank	Nairobi	Kenya			
Kilimanjaro Mineral Water Ltd	Witu Road	Off Lusaka Road	Nairobi	Kenya			
Circuit Business Systems K Ltd	Cbs House Opposite Holiday Inn Street	Parklands	Nairobi	Kenya			
Moeller Controls Limited	Off Outering Road	Next To Henkel Kenya Ltd	Nairobi	Kenya			
Transnational Bank Ltd	Trans-National Plaza,  City Hall Way	Mama Ngina Street	Nairobi	Kenya			
Safepak Limited	Behind Libra House Maasai Road	Off Mombasa Road	Nairobi	Kenya			
Foodco Enterprises Limited	Mombasa Road		Nairobi	Kenya			
Auto Litho Limited	Enterprise Road		Nairobi	Kenya			
Lap Trust	Laptrust House Parliament Road		Nairobi	Kenya			
Ncapd	Valley Road		Nairobi	Kenya			
Sgs Kenya Ltd	Victoria Towers Kilimanjaro Avenue	Upper Hill	Nairobi	Kenya			
Turtle Bay Beach Club Limited	Mida Creek Road		Watamu	Kenya			
The Kenyan Good Food Company Ltd	66 Dar Es Salaam Road		Nairobi	Kenya			
Myta Development Limited	Gmpgc Complex Woodland Road Milimani		Nairobi	Kenya			
Pharmaceutical Manufacturing Company Limited	Lusaka Road,Industrial Area	Junction Of Dokar And Enterprise Road	Nairobi	Kenya			
Banoda Oil Limited	International House Mama Ngina Street		Nairobi	Kenya			
Seda Corporation Limited	Parklands Road-Westlands		Nairobi	Kenya			
Kenbelt Kenya Ltd	Enterprise Road		Nairobi	Kenya			
Dahya Chemicals Limited	59, Lunga Lunga Road	Industrial Area	Nairobi	Kenya			
Star Awake	Sikata Market Along Bungoma	Webuye-Nairobi Highway	Bungoma	Kenya			
Credible Blooms Ltd	L.R No. 6845 - 145, Plot 162 Embakasi		Nairobi	Kenya			
Kothidha Community Based Organization	Homa Bay		Kisumu	Kenya			
Surgilinks Limited	School Lane	Opposite Westlands Primary School	Nairobi	Kenya			
Aig Kenya Insurance Co. Ltd	Chartis House Chiromo Road	Eden Square Complex	Nairobi	Kenya			
Ministry Of Fisheries Development	Kilimo House	Cathederal Road	Nairobi	Kenya			
Vrsani Enterprises	Plot No 1870/Iv/233,  East Church Road		Nairobi	Kenya			
Wananchi Telecom Limited	Gateway Business Park	Block E, Mombasa Road	Nairobi	Kenya			
Ketty Tours Travels & Safaris Ltd	Ketty Plaza,  Moi Avenue		Mombasa	Kenya			
Gthsemane Garden Of Hope For Africa	Mfanagano Airstrip		Mfangano Island	Kenya			
Dmo Deegroor Medical Organization	12Th Eastleigh		Nairobi	Kenya			
Blackwood Hodge Kenya Limited	Homabay Road	Off Entreprise Road	Nairobi	Kenya			
Supplies & Services Limited	Harambee Avenue		Nairobi	Kenya			
Jet Chemicals Industries Ltd	Homabay Road		Nairobi	Kenya			
Lantech Ltd	Cannon House,  4Th Floor Haile Selassie Avenue	P.O.Box 54853	Nairobi	Kenya			
Summit Textiles (E.A) Limited	Gilgil Road	Off Entreprise Road, Industrial Area	Nairobi	Kenya			
Kenbro Industries Ltd	Kenbro Complex,  Off Mombasa Road	Behind Metro Cash & Carry	Nairobi	Kenya			
Pta Reinsurance Company Limited (Zep Re) (Nairobi)	Zep-Re Place Longonot Road, Upper Hill		Nairobi	Kenya			
Central Veterinary Laboratories Kabete	Off Kapenguria Road, Off Waiyaki Way		Nairobi	Kenya			
Knight Frank Kenya Limited	Lr No. 209/11459	Lion Place Waiyaki Way	Nairobi	Kenya			
Cargill Kenya Limited	Dar Es Salaam Road	Shimanzi	Mombasa	Kenya			
Peerless Tea Services Ltd	Mwinyi Mpate Street	Shimanzi High Leve	Mombasa	Kenya			
Marshall - Fowler ( Engineers ) Limited	Entreprise Road		Nairobi	Kenya			
Paper Converters K Ltd	Clesoi Road	Off Lunga Lunga Road	Nairobi	Kenya			
Deluxe Inks Limited	57 Lunga Lunga Road	Opposite Pembe Flour Mills Industrial Area	Nairobi	Kenya			
Switchgear And Controls Limited	Dunga Close	Off Dunga Road	Nairobi	Kenya			
Meezan Trading Limited	Unit 04 Argwings Kodhek Road		Nairobi	Kenya			
Jojo Tanks Limited	Serem Road, Off Lunga Lunga Road	Off Pate Road, Industrial Area	Nairobi	Kenya			
Nightrose Cosmetics 1972 Limited	Lunga Lunga Road		Nairobi	Kenya			
Lakhir Plastics Limited	Arap Kitonga Road		Eldoret	Kenya			
Ericsson Kenya Ltd	Aig Building Eden Square, Chiromo Road		Nairobi	Kenya			
Straight Line Enterprises Limited	Enterprise Road		Nairobi	Kenya			
Kenplast Industries Limited	Gilgil Road, Off Enterprise Road		Nairobi	Kenya			
Bids Garment Ltd	Lusaka Road	Industrial Area	Nairobi	Kenya			
Simbanet Com Ltd	Gateway Business Park	Mombasa Road	Nairobi	Kenya			
Elite Plumbers Ltd	Jomo Kenyatta Avenue	Tom Mboya Road	Mombasa	Kenya			
Eve Africa Ltd	Gilgil Road	Off Enterprise	Nairobi	Kenya			
Kenroid Ltd	Kenroid Complex Mombasa Road	On Imara Daima Junction	Nairobi	Kenya			
Pearly Waters Ltd	Gideon Rimba Road	Next To Railway Street	Mombasa	Kenya			
Prochem Industries Limited	Limes & Alums Building Makasembo Road		Kisumu	Kenya			
Kenya Steel Fabricators Ltd	Alliance House,  Road C	Off Enterprise Road	Nairobi	Kenya			
Mtn Business Kenya Limited	Parkside Towers Mombasa Road	Mombasa Road	Nairobi	Kenya			
Agro Integrated Systems	Badr Street		Khartoum	Kenya			
Fargo Courier Limited	Semco Industrial Park Off Mombasa Road		Nairobi	Kenya			
Gina Din Corporate Communication Limited	Gitanga Road	Dennis Pritt Road	Nairobi	Kenya			
Credit Bank Limited	Mercantile House Koinange Street		Nairobi	Kenya			
Dubai Bank Limited	Ground Floor, Icea Building Kenyatta Avenue		Nairobi	Kenya			
Jiu Pachi Community Based Support Centre	Kisumu Nairobi Road		Kisumu	Kenya			
Anglican Church Of Kenya Western Region Christian Community Services	Webuye-Kisumu Highway		Kakamega	Kenya			
Sub Sahara Research Services	Baricho Rd		Nairobi	Kenya			
South Kabura	Amoyo		Ndhiwa	Kenya			
Comtec Networks Limited	653 Village Market		Nairobi	Kenya			
International School Of Kenya	Peponi		Nairobi	Kenya			
Welding Alloys Limited	Lunga Lunga Road	Migwani Road	Nairobi	Kenya			
Techno Brain Group Limited	Heritan House Woodlands Road, Opposite To Dod Headquarters	Off. Arwings Kodhek Road	Nairobi	Kenya			
Wood Products K Ltd	No.69 Enterprise Road		Nairobi	Kenya			
Dial A Cab Ltd	Bruce House, 3Rd Floor,  Standard Street		Nairobi	Kenya			
Pg Bison (Kenya) Ltd	Kampala Road	Next To Slumber Land Building	Nairobi	Kenya			
Phillips Healthcare Technologies Ltd	Phillips Business Park Mombasa Road		Nairobi	Kenya			
Sen Tech Ltd	Off Baba Dogo Road	Ruaraka	Nairobi	Kenya			
Millbrook Garment	Saifee Building,  Haile Selessie Rd		Mombasa	Kenya			
World Wide Fund For Nature	5Th Floor Of Acs Plaza	Lenana Road No 1/1203	Nairobi	Kenya			
Summir Enterprises Ltd	Clesoi Road, Industrial Area		Nairobi	Kenya			
Autofine Filters And Seals Ltd	Uganda Road		Eldoret	Kenya			
Akwa Clear Water Ltd	Malindi Road		Mombasa	Kenya			
Norken (I) Ltd	Norfolk Towers Kijabe Street	Phase 11 Block G On	Nairobi	Kenya			
Mosound Events Ltd	207 David Osieli Road		Nairobi	Kenya			
Kawiri Community Based Organisation	Uriri Migori		Uriri	Kenya			
Swift Global K Limited	Mombasa Road		Nairobi	Kenya			
Deepa Industries Ltd	Hola Road	Off Baricho Road	Nairobi	Kenya			
Unitek Usa K Ltd	Uganda House 4Th Floor,  Kenyatta Avenue		Nairobi	Kenya			
Ntl Parcel Services	Nadume Close, Off Lunga Lunga Road	P.O.Box 49745	Nairobi	Kenya			
Somalia Humanitarian Relief Action	Luuq		Mandera	Kenya			
Fellowship Of Christian Unions	Kasarani		Nairobi	Kenya			
Make Me Smile	Miwani		Kisumu	Kenya			
Akiba Bank Limited	Fedha Towers,  Muindi Mbingu Street		Nairobi	Kenya			
Dago Dala Hera Self Help Group	Sare Awendo		Awendo	Kenya			
D L Patel Press Kenya Ltd	Commercial St		Nairobi	Kenya			
Kagwa Plwhas Cbo	Kendu Bay - Kisumu		Kendu Bay	Kenya			
Cmc Aviation Limited	Cmc Aviation Building Hanger No 51	Langata Road, Off Wilson Airport	Nairobi	Kenya			
Foundation Of People Living With Hiv/Aids In Kenya	Mbagathi Road		Nairobi	Kenya			
Matunda Jua Kazi Organization	Eldoret Kitale Highway		Matunda	Kenya			
Nairobi Botanica Gardening Ltd	Maasai West		Nairobi	Kenya			
Jola To Ajoli	Asumbi - Suneka Rd		Asumbi	Kenya			
Spectre International Ltd.	Kisumu - Busia Road	Otonglo Plant	Kisumu	Kenya			
Jardine Alexander Forbes Insurance Brokers Kenya Ltd	Chester House,  Koinange Street		Nairobi	Kenya			
Adhesive Solutions Africa Limited	Vinodeep Towers Baricho Road	Industrial Area	Nairobi	Kenya			
Subaru Kenya Ltd	Athi River/Addis Ababa	Off Enterprise Road	Nairobi	Kenya			
Xplico Insurance Company Limited	Park Place, 2Nd Parklands Avenue	Off Limuru Road	Nairobi	Kenya			
Farm Machinery Distributors Ltd	George Morara Avenue		Nakuru	Kenya			
Megtraco Limited	Tom Mboya Street		Nairobi	Kenya			
Varsani Brakelinings Ltd	Dunga Road	Dunga Close	Nairobi	Kenya			
Gulf Timber & Hardware Supplies Limited	Migwani Road	Off Enterprise Road	Nairobi	Kenya			
Capitol Printers Ltd	Next To Alpine Coolers,  Road A, Off Enterprise Road	Industrial Area	Nairobi	Kenya			
Prodex E A Ltd	Mombasa Road		Nairobi	Kenya			
Uzuri Manufacturers Limited	L.R 209/10492, Industrial Area Wundanyi Road, Off Lunga Lunga		Nairobi	Kenya			
Avsi Foundation	Ruaraka		Nairobi	Kenya			
Totem Service Station Ltd	George Morara Avenue	Off Nakuru-Eldoret Highway	Nakuru	Kenya			
The Aga Khan Hospital	Otieno Oyoo Street		Kisumu	Kenya			
National Cohesion And Integration Commission	6Th Floor Kma Centre Mara Rd Upper Hill		Nairobi	Kenya			
Zebaki Packaging Limited	Mogadishu, Off Lunga Lunga Road	Opposite Brother Knitwear	Nairobi	Kenya			
Jumbo Chem Kenya Limited	Wall Street Business Park	Off Masai Road, Mombasa Road	Nairobi	Kenya			
Bluesky Industries Limited	Sunrise Synthetics Building Off Garissa Road	Opposite Bat	Thika	Kenya			
Kenrub Ltd	Plot No Lr 37/332,  Bunyala Road		Nairobi	Kenya			
G.N. & Co. Polythene Ltd	Factory Building Embakasi Road		Nairobi	Kenya			
Diamond Industries Limited	Mwangeka Road	Opposite Makupa Catholic Church	Mombasa	Kenya			
Cap Youth Empowerment Institute	Corner Plaza 4Th Floor Parklands Road		Nairobi	Kenya			
Ganijee Glass Mart Ltd	P O Box 42838,  Kiriyaga Road	Industrial Area	Nairobi	Kenya			
Colour Labels Limited	Industrial Area City Square,  Plot No. 209 / 4067	Nanyuki Road Opposite Oil Libya	Nairobi	Kenya			
Frigoken Limited	Next To Chandaria,  Baba Dogo Road	Ruaraka	Nairobi	Kenya			
Big Five Breweries Ltd	Ngong Road		Nairobi	Kenya			
Atlas Copco Eastern Africa Ltd.	Airport North Road	Off Mombasa Road	Nairobi	Kenya			
Titan Air Ltd	Langata Road		Nairobi	Kenya			
Africa Institute For It Security Ltd	Woodvale Place	Woodvale Groove Road	Nairobi	Kenya			
Yara East Africa Limited	Off Mombasa/Enterprise Rd, Opp. Sameer Industrial Park	Road C, Next To Kings Kitchen	Nairobi	Kenya			
London Disterriers - K Limited	Ldk House Dunga Road		Nairobi	Kenya			
Straight Line Enterprise Limited	Building No 19 Viraj Complex Off Mombasa Road		Nairobi	Kenya			
Hemingways Nairobi Ltd	Block C, Hemingways Building Karen Office Park	Langata Road, Karen	Nairobi	Kenya			
Women Fighting Aids In Kenya	Ngong Road		Nairobi	Kenya			
Kanyipir Communty Health Development Project	Opposite Oriwo Boys High School		Kandiege	Kenya			
Kenapen Industries Ltd	Isiolo Road	Off Enterprise Road	Nairobi	Kenya			
Oss Chemie Kenya Limited	North Airport Road		Nairobi	Kenya			
Crystal Valuers Limited	Bruce House Standard Street		Nairobi	Kenya			
Occidental Insurance Co Ltd	Crescent Business Centre Along Cresent Road	Off Parklands Road, Opposite M.P Shah Hospital	Nairobi	Kenya			
Nabico Enterprises Ltd	74 Enterprise Road	Industrial Area	Nairobi	Kenya			
Kate Freight & Travel Ltd	Kate House Off Mombasa Road	Behind Firestone	Nairobi	Kenya			
High Chem Parmaceuticals Ltd	High Chem Building Lunga Lunga Road	Mogadishu Road	Nairobi	Kenya			
Mfi Office Solutions Ltd	Ary Center Mombasa Road	Behind Subaru	Nairobi	Kenya			
International Centre For Reproductive Health Kenya	Tom Mboya Avenue, Tudor Four Estate		Mombasa	Kenya			
London Disterriers (K) Limited	Ldk House Dunga Road		Nairobi	Kenya			
Karia Company Ltd	Nazareth Road		Kiambu	Kenya			
Medisel Kenya Limited	Factory Street	Industrial Area	Nairobi	Kenya			
Urgent Cargo Handling Ltd	Plot No.209/4999 Dundee House Uhuru Highway		Nairobi	Kenya			
Oriel Ltd	Mombasa Road		Nairobi	Kenya			
